"hecho","Afrocolombiano","Palenquero","Raizal de San Andrés"
"Abandono o Despojo Forzado de Tierras",57,0,0
"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",140,1,7
"Amenaza",1234,9,14
"Delitos contra la libertad y la integridad sexual en desarrollo del conflicto armado",311,0,2
"Desaparición forzada",506,1,15
"Desplazamiento forzado",52014,123,853
"Homicidio",1940,10,118
"Lesiones Personales Físicas",44,0,2
"Lesiones Personales Psicológicas",64,0,0
"Minas Antipersonal, Munición sin Explotar y Artefacto Explosivo improvisado",37,0,1
"Pérdida de Bienes Muebles o Inmuebles",923,2,8
"Secuestro",80,3,4
"Sin información",51,0,0
"Tortura",35,0,0
"Vinculación de Niños Niñas y Adolescentes a Actividades Relacionadas con grupos armados",17,0,1
