"anio","Abandono o despojo forzado de tierras","Acto terrorista, atentados, combates, enfrentamientos, hostigamientos","Amenaza","Confinamiento","Delitos contra la libertad y la integridad sexual en desarrollo del conflicto armado","Desaparición forzada","Desplazamiento forzado","Homicidio","Lesiones personales físicas","Lesiones personales psicológicas","Minas antipersonal, Munición sin explotar y artefacto explosivo improvisado","Pérdida de bienes muebles o inmuebles","Secuestro","Sin información","Tortura","Vinculación de niños, niñas y adolescentes a actividades relacionadas con grupos armados"
1950,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
1955,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1961,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0
1963,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1964,0,3,0,0,0,1,4,1,0,0,0,1,0,0,1,0
1965,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1967,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
1969,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
1970,0,0,0,0,0,0,19,3,0,0,0,0,0,0,0,0
1971,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
1973,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0
1974,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0
1975,0,0,0,0,0,1,21,11,0,0,0,0,0,0,0,0
1976,0,0,0,0,0,3,14,6,0,1,0,0,0,0,0,0
1977,0,0,1,0,0,2,43,5,0,0,0,2,1,0,0,0
1978,0,0,0,0,0,4,26,15,0,0,0,0,0,0,0,0
1979,0,0,0,0,0,8,27,14,0,1,0,0,0,0,0,0
1980,0,0,0,0,1,3,96,34,0,1,0,0,0,0,2,0
1981,0,0,1,0,0,4,157,51,0,0,0,0,1,0,0,0
1982,0,0,0,0,0,12,98,54,0,1,0,0,0,0,0,0
1983,0,0,0,0,0,12,114,73,0,0,0,0,0,0,0,0
1984,0,0,1,0,0,20,223,90,0,1,1,0,0,0,0,0
1985,0,10,68,0,21,75,1060,277,4,4,0,24,9,0,3,0
1986,0,12,62,0,28,78,1219,325,5,4,0,12,2,0,3,0
1987,0,29,105,0,33,69,1636,522,7,3,0,19,8,1,9,0
1988,0,20,107,0,30,126,2983,706,4,8,0,23,20,0,8,1
1989,0,70,109,0,54,137,2475,627,6,5,0,35,6,0,5,1
1990,1,33,194,0,52,146,3625,754,11,12,1,24,21,0,4,0
1991,17,32,130,0,30,133,2900,913,10,12,3,40,33,1,6,0
1992,37,42,187,0,50,193,4738,1093,9,6,3,38,32,0,13,1
1993,25,23,181,0,47,218,5287,1254,10,15,4,40,20,1,8,0
1994,29,36,298,0,52,186,7154,1013,11,13,2,47,23,0,6,0
1995,49,43,492,0,89,294,14932,1427,10,21,2,87,42,44,21,2
1996,59,91,536,0,89,455,18443,1739,16,20,1,151,52,18,13,1
1997,140,171,966,0,148,480,37955,2047,15,35,4,282,101,19,28,2
1998,117,128,623,0,131,329,20844,1619,17,38,5,216,86,27,22,5
1999,162,102,1202,0,166,389,24327,1565,22,33,3,493,139,16,40,10
2000,155,734,2891,0,428,511,54729,2418,37,54,6,780,227,40,86,9
2001,102,223,1653,0,390,663,68318,2479,36,51,7,525,158,189,47,9
2002,92,368,2013,0,478,857,75054,2811,73,81,11,997,135,97,68,24
2003,59,160,1294,0,383,672,44929,2369,56,61,24,295,120,128,49,23
2004,42,165,1290,0,350,562,42315,2100,49,56,19,361,103,147,44,12
2005,57,148,1257,0,313,522,52990,2068,46,64,38,933,87,51,35,18
2006,47,152,973,0,205,375,60129,2338,36,80,26,579,67,1,23,21
2007,10,584,910,0,222,436,84730,2664,52,357,34,907,75,0,40,17
2008,20,303,953,0,221,369,72613,2350,54,45,55,741,87,2,35,17
2009,22,337,857,0,144,312,45119,2098,39,9,38,427,54,1,20,29
2010,20,412,1305,0,179,287,42773,1875,53,4,43,447,76,0,24,35
2011,12,1391,2434,0,149,336,67106,1767,32,2,44,862,98,0,34,23
2012,9,3752,7262,0,228,363,62618,1863,32,1,72,2556,119,0,48,45
2013,17,3694,8041,0,254,155,84319,1079,34,1,59,2101,69,0,26,29
2014,6,1656,9467,5,376,82,83934,556,64,3,31,1171,56,0,31,38
2015,2,1085,6112,216,335,28,50106,307,89,3,16,989,29,0,18,31
2016,0,284,5292,1330,192,8,29031,164,63,2,10,271,16,0,10,19
2017,0,97,6400,1108,193,42,33224,304,57,0,4,242,15,0,3,14
2018,0,42,5760,2269,217,29,28580,333,34,0,5,201,11,0,1,13
2019,0,29,3496,5098,167,9,19668,107,18,0,2,109,5,1,0,7
